朝は4本、昼は2本、夜は3本。これな〜んだ？,歯ブラシ。朝、昼、夜のそれぞれの時間における「歯」の数を表しています。朝は「は（8）し（4）」で「4本」、昼は「は（8）に（2）」で「2本」、夜は「は（8）さん（3）」で「3本」と読むことができます。,人間。人は赤ん坊の時はハイハイで四つ足、成長して二足、老年で杖をつくから三足。「朝」「昼」「夜」は人間の一生を一日に例えています。スフィンクスが出したとされる有名ななぞなぞです。
まんなかにラメがはいっているたべものな〜んだ？,ラーメン。「まんなかに ラメ がはいっている たべもの」というフレーズで、「ラメ」という文字が中央に含まれている食べ物として「ラーメン」が当てはまります。,キャラメル。キャ「ラメ」ル。昔はキャラメルが禁煙のために使われる大人のお菓子だった時代もあるそうです。
電車やバスのなかにあるかわはどんな「かわ」？,革（かわ）製の座席（ざせき）。電車やバスの中にある「かわ」とは、文字通り「革」、つまり革製の座席のことを指しています。多くの公共交通機関では耐久性と清掃の容易さのために革製または革のような素材で座席を作ることがあります。,つりかわ。つり「かわ」。ディズニーリゾートラインのミッキーマウスの形をした吊り革が可愛いですよね。
カンバンを右からよんでも左からよんでもわかるお店はなにやさん？,やきとりや（焼き鳥屋）。看板を右から読んでも左から読んでも同じになる言葉、つまり回文になっているお店の名前として「やきとりや」が該当します。,やおや。右から読んでも左から読んでも「やおや」。果物や野菜が流通する市場のことを青果市場と呼びますが、八百屋も青果物を扱うことから、昔は「青屋(あおや)」と呼ばれていたそうです。これが時代の経過によってどんどん崩れ、「八百屋」に変わったようです。
足をふんでも、頭をふんでも、おこらないものなーに？,地図（ちず）。足で踏んでも、頭で踏んでも怒らないものとして、地図が該当します。地図はただの紙や画像であり、どのように扱っても感情を持たないため、「おこらない」という条件を満たします。,かげ。かげは地面にあるため、いつも踏まれていますが、怒ったりはしません。かげには「影」と「陰」の二つの漢字がありますが、影は光が物に遮られてできる暗い部分のことを指し、陰は日光や風雨が当たらない場所や目の届かない場所を意味しているようです。
うれしいときはよろこぶ。では転んだときにできるこぶは？,こぶし（拳）。「転んだときにできるこぶ」と聞いて、通常は頭や体の一部にできる「こぶ」を想像するかもしれませんが、この場合は「喜び（よろこび）」と掛けていて、「こぶし（拳）」という答えになります。,たんこぶ。たん「こぶ」。たんこぶが頭にしかできないのは、皮膚の下にすぐ硬い骨があるため血が出やすく、内側に広がらないため外側に広がって皮膚が膨らむそうです。
手をにぎるとできるこぶは？,握りこぶし（にぎりこぶし）。手を握るとできる「こぶ」とは、握りしめた時に形成される拳のことを指しています。,こぶし。「こぶ」し。最初はぐーの掛け声はザ・ドリフターズの志村けんさんが考案したそうですね。
ひとがのって上にいったり下にいったりするハコはなーに？,エレベーター。人が乗って上に行ったり下に行ったりする箱として、エレベーターが当てはまります。エレベーターは建物の中で人々を異なる階へ移動させるために使用される、箱型の乗り物です。,エレベーター。マンションやビルを上るときに乗りますよね。最近だと横や斜めに動くものもありますね。
寒いとき、はきだすと白くなるものなーに？,息（いき）。寒いときに息を吐き出すと、呼気中の水蒸気が冷えて小さな水滴になり、白く見える現象が起こります。これが「白くなるもの」としての「息」です。,いき。寒いときは吐く息に含まれている水蒸気が水滴に変わって白く見えるそうです。
口のなかでアワだらけになってあばれてるものなーに？,歯磨き粉（はみがきこ）。口の中で泡だらけになって暴れているものとして、歯磨き粉が該当します。歯ブラシで磨くとき、歯磨き粉は泡立って口の中をきれいにします。,はぶらし。歯ブラシを濡らすと泡立ちやすくなりますよね。しかし、歯磨き前に歯ブラシを濡らさず、乾いたままで歯磨き粉をつけるように勧められているそうです。
焼いてもたべられないパンてどんなパン？,フライパン。焼いても食べられない「パン」として、フライパンが当てはまります。この場合の「パン」は食べ物ではなく、料理に使う道具を指しています。フライパンは料理をするために使われるが、もちろん食べることはできません。,フライパン。フライ「パン」。超有名ななぞなぞですね。
あまい「す」ってどんな「す」？,砂糖（さとう）。「甘い（あまい）す」として、砂糖が当てはまります。ここでのポイントは、「す」を砂糖の「砂」と読み替えることです。砂糖はその名の通り、甘さを提供する食品です。,ジュース。ジュー「ス」。アイスなど、他にも答えがありそうですね。
おひさまのあたらない暗い森はどんな森？,くらもり（暗い森）。お日様の当たらない、つまり暗い森を表す言葉遊びとして「くらもり」が当てはまります。ここでの「森」は直接的な意味ではなく、言葉の響きを利用した遊び心のある表現です。,くもり。く「もり」。くもりの日は湿度が高いため、窓ガラスの汚れが落ちやすいため、掃除におすすめです。
